,URL,Recommender
0,http://voxeu.org/article/revisiting-paradox-capital,http://economistsview.typepad.com/.m/economistsview/2017/03/links-for-03-09-06.html
1,http://jaredbernsteinblog.com/trade-trade-deficits-secular-stagnation-and-a-good-use-for-excess-savings/,http://economistsview.typepad.com/.m/economistsview/2017/03/links-for-03-09-06.html
2,https://www.nytimes.com/2017/03/08/business/economy/labor-share-economic-output.html?partner=rss&emc=rss&_r=0,http://economistsview.typepad.com/.m/economistsview/2017/03/links-for-03-09-06.html
3,https://promarket.org/regulation-build-trust-entrench-cliques/,http://economistsview.typepad.com/.m/economistsview/2017/03/links-for-03-09-06.html
4,http://conversableeconomist.blogspot.com/2017/03/those-rising-german-trade-surpluses.html,http://economistsview.typepad.com/.m/economistsview/2017/03/links-for-03-09-06.html
5,http://blogs.cfr.org/setser/2017/03/08/the-january-u-s-trade-data/,http://economistsview.typepad.com/.m/economistsview/2017/03/links-for-03-09-06.html
6,http://blogs.wsj.com/economics/2007/10/22/poole-sees-improvement-but-says-contagion-threat-remains/,http://economistsview.typepad.com/economistsview/2007/10/links-for-20-22.html
7,http://www.voxeu.org/index.php?q=node/624,http://economistsview.typepad.com/economistsview/2007/10/links-for-20-22.html
8,http://www.nytimes.com/2007/10/22/technology/22cnd-soft.html?ex=1350705600&en=4f12f4649ba1cb28&ei=5088&partner=rssnyt&emc=rss,http://economistsview.typepad.com/economistsview/2007/10/links-for-20-22.html
9,http://econlog.econlib.org/archives/2007/10/mortgage_fraud.html,http://economistsview.typepad.com/economistsview/2007/10/links-for-20-22.html
10,http://www.voxeu.org/index.php?q=node/665,http://economistsview.typepad.com/economistsview/2007/10/links-for-20-22.html
11,http://krugman.blogs.nytimes.com/2007/10/22/income-and-voting/,http://economistsview.typepad.com/economistsview/2007/10/links-for-20-22.html
12,http://www.nytimes.com/2007/10/23/opinion/23herbert.html?hp,http://economistsview.typepad.com/economistsview/2007/10/links-for-20-22.html
13,http://www.portfolio.com/views/blogs/odd-numbers/2007/10/22/watching-your-neighbors-driveway,http://economistsview.typepad.com/economistsview/2007/10/links-for-20-22.html
14,http://www.voxeu.org/index.php?q=node/658,http://economistsview.typepad.com/economistsview/2007/10/links-for-20-22.html
